Entity,Code,Day,new_vaccinations_smoothed_per_million
Afghanistan,AFG,2021-02-23,0.0035
Afghanistan,AFG,2021-02-24,0.0035
Afghanistan,AFG,2021-02-25,0.0035
Afghanistan,AFG,2021-02-26,0.0035
Afghanistan,AFG,2021-02-27,0.0035
Afghanistan,AFG,2021-02-28,0.0035
Afghanistan,AFG,2021-03-01,0.0041
Afghanistan,AFG,2021-03-02,0.0046
Afghanistan,AFG,2021-03-03,0.005200000000000001
Afghanistan,AFG,2021-03-04,0.0057
Afghanistan,AFG,2021-03-05,0.0063
Afghanistan,AFG,2021-03-06,0.0068000000000000005
Afghanistan,AFG,2021-03-07,0.0074
Afghanistan,AFG,2021-03-08,0.0074
Afghanistan,AFG,2021-03-09,0.0074
Afghanistan,AFG,2021-03-10,0.0074
Afghanistan,AFG,2021-03-11,0.0074
Afghanistan,AFG,2021-03-12,0.0074
Afghanistan,AFG,2021-03-13,0.0074
Afghanistan,AFG,2021-03-14,0.0074
Afghanistan,AFG,2021-03-15,0.0074
Afghanistan,AFG,2021-03-16,0.0074
Africa,,2021-01-10,0
Africa,,2021-01-11,0
Africa,,2021-01-12,0
Africa,,2021-01-13,0
Africa,,2021-01-14,0
Africa,,2021-01-15,0
Africa,,2021-01-16,0.0001
Africa,,2021-01-17,0.0001
Africa,,2021-01-18,0.0001
Africa,,2021-01-19,0.0001
Africa,,2021-01-20,0.0001
Africa,,2021-01-21,0.0001
Africa,,2021-01-22,0.0001
Africa,,2021-01-23,0.0001
Africa,,2021-01-24,0.0001
Africa,,2021-01-25,0.0001
Africa,,2021-01-26,0.0001
Africa,,2021-01-27,0.0001
Africa,,2021-01-28,0.0001
Africa,,2021-01-29,0.0001
Africa,,2021-01-30,0.0011
Africa,,2021-01-31,0.0015
Africa,,2021-02-01,0.0023
Africa,,2021-02-02,0.0029000000000000002
Africa,,2021-02-03,0.0034000000000000002
Africa,,2021-02-04,0.0039000000000000003
Africa,,2021-02-05,0.0044
Africa,,2021-02-06,0.0041
Africa,,2021-02-07,0.004200000000000001
Africa,,2021-02-08,0.0038
Africa,,2021-02-09,0.0039000000000000003
Africa,,2021-02-10,0.0048000000000000004
Africa,,2021-02-11,0.0055000000000000005
Africa,,2021-02-12,0.0077
Africa,,2021-02-13,0.01
Africa,,2021-02-14,0.011300000000000001
Africa,,2021-02-15,0.0125
Africa,,2021-02-16,0.013900000000000001
Africa,,2021-02-17,0.014400000000000001
Africa,,2021-02-18,0.0149
Africa,,2021-02-19,0.014400000000000001
Africa,,2021-02-20,0.0125
Africa,,2021-02-21,0.0108
Africa,,2021-02-22,0.010400000000000001
Africa,,2021-02-23,0.0095
Africa,,2021-02-24,0.010700000000000001
Africa,,2021-02-25,0.012100000000000001
Africa,,2021-02-26,0.012400000000000001
Africa,,2021-02-27,0.013300000000000001
Africa,,2021-02-28,0.013300000000000001
Africa,,2021-03-01,0.0143
Africa,,2021-03-02,0.0149
Africa,,2021-03-03,0.0135
Africa,,2021-03-04,0.012100000000000001
Africa,,2021-03-05,0.012
Africa,,2021-03-06,0.0122
Africa,,2021-03-07,0.0126
Africa,,2021-03-08,0.014
Africa,,2021-03-09,0.0137
Africa,,2021-03-10,0.0155
Africa,,2021-03-11,0.016
Africa,,2021-03-12,0.016800000000000002
Africa,,2021-03-13,0.0189
Africa,,2021-03-14,0.018600000000000002
Africa,,2021-03-15,0.019100000000000002
Africa,,2021-03-16,0.0201
Africa,,2021-03-17,0.018600000000000002
Africa,,2021-03-18,0.018600000000000002
Africa,,2021-03-19,0.018600000000000002
Africa,,2021-03-20,0.015300000000000001
Africa,,2021-03-21,0.015300000000000001
Africa,,2021-03-22,0.0125
Africa,,2021-03-23,0.011600000000000001
Africa,,2021-03-24,0.0182
Africa,,2021-03-25,0.0193
Africa,,2021-03-26,0.0189
Africa,,2021-03-27,0.0196
Africa,,2021-03-28,0.0221
Africa,,2021-03-29,0.023100000000000002
Africa,,2021-03-30,0.0235
Africa,,2021-03-31,0.019700000000000002
Africa,,2021-04-01,0.0194
Africa,,2021-04-02,0.018000000000000002
Africa,,2021-04-03,0.0177
Africa,,2021-04-04,0.016800000000000002
Africa,,2021-04-05,0.015300000000000001
Albania,ALB,2021-01-11,0.0022
Albania,ALB,2021-01-12,0.0022
Albania,ALB,2021-01-13,0.0022
Albania,ALB,2021-01-14,0.0023
Albania,ALB,2021-01-15,0.0022
Albania,ALB,2021-01-16,0.0022
Albania,ALB,2021-01-17,0.002
Albania,ALB,2021-01-18,0.0019
Albania,ALB,2021-01-19,0.0018000000000000002
Albania,ALB,2021-01-20,0.0016
Albania,ALB,2021-01-21,0.0014
Albania,ALB,2021-01-22,0.0012000000000000001
Albania,ALB,2021-01-23,0.0009000000000000001
Albania,ALB,2021-01-24,0.0007
Albania,ALB,2021-01-25,0.0005
Albania,ALB,2021-01-26,0.00030000000000000003
Albania,ALB,2021-01-27,0.0001
Albania,ALB,2021-01-28,0
Albania,ALB,2021-01-29,0
Albania,ALB,2021-01-30,0
Albania,ALB,2021-01-31,0
Albania,ALB,2021-02-01,0
Albania,ALB,2021-02-02,0
Albania,ALB,2021-02-03,0.0004
Albania,ALB,2021-02-04,0.0008
Albania,ALB,2021-02-05,0.0012000000000000001
Albania,ALB,2021-02-06,0.0016
Albania,ALB,2021-02-07,0.0021000000000000003
Albania,ALB,2021-02-08,0.0025
Albania,ALB,2021-02-09,0.0028
Albania,ALB,2021-02-10,0.0028
Albania,ALB,2021-02-11,0.0027
Albania,ALB,2021-02-12,0.0027
Albania,ALB,2021-02-13,0.0026000000000000003
Albania,ALB,2021-02-14,0.0026000000000000003
Albania,ALB,2021-02-15,0.0025
Albania,ALB,2021-02-16,0.0025
Albania,ALB,2021-02-17,0.0025
Albania,ALB,2021-02-18,0.0088
Albania,ALB,2021-02-19,0.014100000000000001
Albania,ALB,2021-02-20,0.0179
Albania,ALB,2021-02-21,0.0218
Albania,ALB,2021-02-22,0.0257
Albania,ALB,2021-02-23,0.031
Albania,ALB,2021-02-24,0.0362
Albania,ALB,2021-02-25,0.0352
Albania,ALB,2021-02-26,0.0347
Albania,ALB,2021-02-27,0.0357
Albania,ALB,2021-02-28,0.0366
Albania,ALB,2021-03-01,0.0376
Albania,ALB,2021-03-02,0.0357
Albania,ALB,2021-03-03,0.0337
Albania,ALB,2021-03-04,0.0322
Albania,ALB,2021-03-05,0.031200000000000002
Albania,ALB,2021-03-06,0.030100000000000002
Albania,ALB,2021-03-07,0.0291
Albania,ALB,2021-03-08,0.0281
Albania,ALB,2021-03-09,0.0285
Albania,ALB,2021-03-10,0.028900000000000002
Albania,ALB,2021-03-11,0.0298
Albania,ALB,2021-03-12,0.0307
Albania,ALB,2021-03-13,0.0362
Albania,ALB,2021-03-14,0.0417
Albania,ALB,2021-03-15,0.0473
Albania,ALB,2021-03-16,0.0528
Albania,ALB,2021-03-17,0.058300000000000005
Albania,ALB,2021-03-18,0.06810000000000001
Albania,ALB,2021-03-19,0.07780000000000001
Albania,ALB,2021-03-20,0.0829
Albania,ALB,2021-03-21,0.08800000000000001
Albania,ALB,2021-03-22,0.0931
Albania,ALB,2021-03-23,0.10060000000000001
Albania,ALB,2021-03-24,0.1024
Albania,ALB,2021-03-25,0.11420000000000001
Albania,ALB,2021-03-26,0.11380000000000001
Albania,ALB,2021-03-27,0.1082
Albania,ALB,2021-03-28,0.1626
Albania,ALB,2021-03-29,0.2503
Albania,ALB,2021-03-30,0.3357
Albania,ALB,2021-03-31,0.4212
Albania,ALB,2021-04-01,0.4771
Albania,ALB,2021-04-02,0.5472
Albania,ALB,2021-04-03,0.6028
Albania,ALB,2021-04-04,0.5703
Albania,ALB,2021-04-05,0.5363
Algeria,DZA,2021-01-30,0.0001
Algeria,DZA,2021-01-31,0.0043
Algeria,DZA,2021-02-01,0.0057
Algeria,DZA,2021-02-02,0.0064
Algeria,DZA,2021-02-03,0.006900000000000001
Algeria,DZA,2021-02-04,0.0071
Algeria,DZA,2021-02-05,0.0073
Algeria,DZA,2021-02-06,0.0085
Algeria,DZA,2021-02-07,0.0085
Algeria,DZA,2021-02-08,0.0085
Algeria,DZA,2021-02-09,0.0085
Algeria,DZA,2021-02-10,0.0085
Algeria,DZA,2021-02-11,0.0085
Algeria,DZA,2021-02-12,0.0085
Algeria,DZA,2021-02-13,0.0085
Algeria,DZA,2021-02-14,0.0085
Algeria,DZA,2021-02-15,0.0085
Algeria,DZA,2021-02-16,0.0085
Algeria,DZA,2021-02-17,0.0085
Algeria,DZA,2021-02-18,0.0085
Algeria,DZA,2021-02-19,0.0085
Andorra,AND,2021-01-26,0.0854
Andorra,AND,2021-01-27,0.0854
Andorra,AND,2021-01-28,0.0854
Andorra,AND,2021-01-29,0.0854
Andorra,AND,2021-01-30,0.0854
Andorra,AND,2021-01-31,0.0854
Andorra,AND,2021-02-01,0.0854
Andorra,AND,2021-02-02,0.0777
Andorra,AND,2021-02-03,0.0712
Andorra,AND,2021-02-04,0.06470000000000001
Andorra,AND,2021-02-05,0.056900000000000006
Andorra,AND,2021-02-06,0.0505
Andorra,AND,2021-02-07,0.044000000000000004
Andorra,AND,2021-02-08,0.0362
Andorra,AND,2021-02-09,0.0362
Andorra,AND,2021-02-10,0.0362
Andorra,AND,2021-02-11,0.0621
Andorra,AND,2021-02-12,0.08800000000000001
Andorra,AND,2021-02-13,0.09580000000000001
Andorra,AND,2021-02-14,0.1048
Andorra,AND,2021-02-15,0.1126
Andorra,AND,2021-02-16,0.1217
Andorra,AND,2021-02-17,0.12940000000000002
Andorra,AND,2021-02-18,0.1126
Andorra,AND,2021-02-19,0.09580000000000001
Andorra,AND,2021-02-20,0.09190000000000001
Andorra,AND,2021-02-21,0.0867
Andorra,AND,2021-02-22,0.0828
Andorra,AND,2021-02-23,0.0777
Andorra,AND,2021-02-24,0.0738
Andorra,AND,2021-02-25,0.07250000000000001
Andorra,AND,2021-02-26,0.0712
Andorra,AND,2021-02-27,0.0815
Andorra,AND,2021-02-28,0.0932
Andorra,AND,2021-03-01,0.10350000000000001
Andorra,AND,2021-03-02,0.11520000000000001
Andorra,AND,2021-03-03,0.1255
Andorra,AND,2021-03-04,0.1333
Andorra,AND,2021-03-05,0.1398
Andorra,AND,2021-03-06,0.1398
Andorra,AND,2021-03-07,0.1398
Andorra,AND,2021-03-08,0.1398
Andorra,AND,2021-03-09,0.24070000000000003
Andorra,AND,2021-03-10,0.3417
Andorra,AND,2021-03-11,0.4491
Andorra,AND,2021-03-12,0.5565
Andorra,AND,2021-03-13,0.6639
Andorra,AND,2021-03-14,0.7714000000000001
Andorra,AND,2021-03-15,0.8788
Andorra,AND,2021-03-16,0.8011
Andorra,AND,2021-03-17,0.7235
Andorra,AND,2021-03-18,0.6381
Andorra,AND,2021-03-19,0.5539000000000001
Andorra,AND,2021-03-20,0.462
Andorra,AND,2021-03-21,0.3714
Andorra,AND,2021-03-22,0.28090000000000004
Andorra,AND,2021-03-23,0.27440000000000003
Andorra,AND,2021-03-24,0.2679
Andorra,AND,2021-03-25,0.2614
Andorra,AND,2021-03-26,0.255
Andorra,AND,2021-03-27,0.255
Andorra,AND,2021-03-28,0.255
Andorra,AND,2021-03-29,0.255
Andorra,AND,2021-03-30,0.255
Andorra,AND,2021-03-31,0.255
Andorra,AND,2021-04-01,0.255
Andorra,AND,2021-04-02,0.255
Andorra,AND,2021-04-03,0.255
Andorra,AND,2021-04-04,0.255
Angola,AGO,2021-03-02,0.0027
Angola,AGO,2021-03-03,0.0027
Angola,AGO,2021-03-04,0.0027
Angola,AGO,2021-03-05,0.0027
Angola,AGO,2021-03-06,0.0027
Angola,AGO,2021-03-07,0.0027
Angola,AGO,2021-03-08,0.0027
Angola,AGO,2021-03-09,0.004200000000000001
Angola,AGO,2021-03-10,0.0056
Angola,AGO,2021-03-11,0.0071
Angola,AGO,2021-03-12,0.0086
Angola,AGO,2021-03-13,0.010100000000000001
Angola,AGO,2021-03-14,0.011600000000000001
Angola,AGO,2021-03-15,0.013000000000000001
Angola,AGO,2021-03-16,0.013000000000000001
Angola,AGO,2021-03-17,0.013000000000000001
Angola,AGO,2021-03-18,0.013000000000000001
Angola,AGO,2021-03-19,0.013900000000000001
Angola,AGO,2021-03-20,0.0148
Angola,AGO,2021-03-21,0.015700000000000002
Angola,AGO,2021-03-22,0.0166
Angola,AGO,2021-03-23,0.0175
Angola,AGO,2021-03-24,0.0184
Angola,AGO,2021-03-25,0.020300000000000002
Angola,AGO,2021-03-26,0.021400000000000002
Angola,AGO,2021-03-27,0.0224
Angola,AGO,2021-03-28,0.0235
Angola,AGO,2021-03-29,0.0245
Anguilla,AIA,2021-02-05,0.9932000000000001
Anguilla,AIA,2021-02-06,0.9932000000000001
Anguilla,AIA,2021-02-07,0.9932000000000001
Anguilla,AIA,2021-02-08,0.9932000000000001
Anguilla,AIA,2021-02-09,0.9932000000000001
Anguilla,AIA,2021-02-10,0.9932000000000001
Anguilla,AIA,2021-02-11,0.9932000000000001
Anguilla,AIA,2021-02-12,0.9932000000000001
Anguilla,AIA,2021-02-13,0.9932000000000001
Anguilla,AIA,2021-02-14,2.2064
Anguilla,AIA,2021-02-15,2.153
Anguilla,AIA,2021-02-16,2.1064000000000003
Anguilla,AIA,2021-02-17,2.0597000000000003
Anguilla,AIA,2021-02-18,2.0064
Anguilla,AIA,2021-02-19,1.9597
Anguilla,AIA,2021-02-20,1.9064
Anguilla,AIA,2021-02-21,0.6466000000000001
Anguilla,AIA,2021-02-22,0.6466000000000001
Anguilla,AIA,2021-02-23,0.6466000000000001
Anguilla,AIA,2021-02-24,0.6466000000000001
Anguilla,AIA,2021-02-25,0.6466000000000001
Anguilla,AIA,2021-02-26,0.6466000000000001
Anguilla,AIA,2021-02-27,0.6266
Anguilla,AIA,2021-02-28,0.5999
Anguilla,AIA,2021-03-01,0.5733
Anguilla,AIA,2021-03-02,0.5466
Anguilla,AIA,2021-03-03,0.5266000000000001
Anguilla,AIA,2021-03-04,0.4999
Anguilla,AIA,2021-03-05,0.4733
Anguilla,AIA,2021-03-06,0.4733
Anguilla,AIA,2021-03-07,0.4733
Anguilla,AIA,2021-03-08,0.4733
Anguilla,AIA,2021-03-09,0.4733
Anguilla,AIA,2021-03-10,0.4733
Anguilla,AIA,2021-03-11,0.4733
Anguilla,AIA,2021-03-12,0.4733
Anguilla,AIA,2021-03-13,0.4733
Anguilla,AIA,2021-03-14,0.45990000000000003
Anguilla,AIA,2021-03-15,0.45330000000000004
Anguilla,AIA,2021-03-16,0.4399
Anguilla,AIA,2021-03-17,0.42660000000000003
Anguilla,AIA,2021-03-18,0.4133
Anguilla,AIA,2021-03-19,0.39990000000000003
Antigua and Barbuda,ATG,2021-02-17,0.9139
Antigua and Barbuda,ATG,2021-02-18,0.9139
Antigua and Barbuda,ATG,2021-02-19,0.9139
Antigua and Barbuda,ATG,2021-02-20,0.9139
Antigua and Barbuda,ATG,2021-02-21,0.9139
Antigua and Barbuda,ATG,2021-02-22,0.9139
Antigua and Barbuda,ATG,2021-02-23,0.9139
Antigua and Barbuda,ATG,2021-02-24,0.9139
Antigua and Barbuda,ATG,2021-02-25,0.9139
Antigua and Barbuda,ATG,2021-02-26,0.9139
Antigua and Barbuda,ATG,2021-02-27,0.9139
Antigua and Barbuda,ATG,2021-02-28,0.9139
Antigua and Barbuda,ATG,2021-03-01,0.9139
Antigua and Barbuda,ATG,2021-03-02,0.9139
Antigua and Barbuda,ATG,2021-03-03,0.9139
Antigua and Barbuda,ATG,2021-03-04,0.9139
Antigua and Barbuda,ATG,2021-03-05,0.9139
Antigua and Barbuda,ATG,2021-03-06,0.9139
Antigua and Barbuda,ATG,2021-03-07,0.9139
Antigua and Barbuda,ATG,2021-03-08,0.9139
Antigua and Barbuda,ATG,2021-03-09,0.9139
Antigua and Barbuda,ATG,2021-03-10,0.9139
Antigua and Barbuda,ATG,2021-03-11,0.9139
Antigua and Barbuda,ATG,2021-03-12,0.9139
Antigua and Barbuda,ATG,2021-03-13,0.9139
Antigua and Barbuda,ATG,2021-03-14,0.9139
Antigua and Barbuda,ATG,2021-03-15,0.9139
Antigua and Barbuda,ATG,2021-03-16,0.8384
Antigua and Barbuda,ATG,2021-03-17,0.7628
Antigua and Barbuda,ATG,2021-03-18,0.6883
Antigua and Barbuda,ATG,2021-03-19,0.6127
Antigua and Barbuda,ATG,2021-03-20,0.5004000000000001
Antigua and Barbuda,ATG,2021-03-21,0.388
Antigua and Barbuda,ATG,2021-03-22,0.2757
Antigua and Barbuda,ATG,2021-03-23,0.2379
Antigua and Barbuda,ATG,2021-03-24,0.20120000000000002
Antigua and Barbuda,ATG,2021-03-25,0.16440000000000002
Argentina,ARG,2020-12-30,0.0346
Argentina,ARG,2020-12-31,0.0346
Argentina,ARG,2021-01-01,0.0245
Argentina,ARG,2021-01-02,0.0194
Argentina,ARG,2021-01-03,0.0164
Argentina,ARG,2021-01-04,0.0143
Argentina,ARG,2021-01-05,0.0177
Argentina,ARG,2021-01-06,0.0181
Argentina,ARG,2021-01-07,0.018500000000000003
Argentina,ARG,2021-01-08,0.0233
Argentina,ARG,2021-01-09,0.0264
Argentina,ARG,2021-01-10,0.0296
Argentina,ARG,2021-01-11,0.0327
Argentina,ARG,2021-01-12,0.031100000000000003
Argentina,ARG,2021-01-13,0.029500000000000002
Argentina,ARG,2021-01-14,0.029500000000000002
Argentina,ARG,2021-01-15,0.029500000000000002
Argentina,ARG,2021-01-16,0.0287
Argentina,ARG,2021-01-17,0.0279
Argentina,ARG,2021-01-18,0.027200000000000002
Argentina,ARG,2021-01-19,0.0264
Argentina,ARG,2021-01-20,0.0256
Argentina,ARG,2021-01-21,0.025900000000000003
Argentina,ARG,2021-01-22,0.024900000000000002
Argentina,ARG,2021-01-23,0.0246
Argentina,ARG,2021-01-24,0.0229
Argentina,ARG,2021-01-25,0.02
Argentina,ARG,2021-01-26,0.0213
Argentina,ARG,2021-01-27,0.0222
Argentina,ARG,2021-01-28,0.019700000000000002
Argentina,ARG,2021-01-29,0.0204
Argentina,ARG,2021-01-30,0.024800000000000003
Argentina,ARG,2021-01-31,0.025
Argentina,ARG,2021-02-01,0.0264
Argentina,ARG,2021-02-02,0.025400000000000002
Argentina,ARG,2021-02-03,0.024800000000000003
Argentina,ARG,2021-02-04,0.0367
Argentina,ARG,2021-02-05,0.0359
Argentina,ARG,2021-02-06,0.0332
Argentina,ARG,2021-02-07,0.041100000000000005
Argentina,ARG,2021-02-08,0.0429
Argentina,ARG,2021-02-09,0.040100000000000004
Argentina,ARG,2021-02-10,0.0439
Argentina,ARG,2021-02-11,0.0407
Argentina,ARG,2021-02-12,0.042300000000000004
Argentina,ARG,2021-02-13,0.0426
Argentina,ARG,2021-02-14,0.034300000000000004
Argentina,ARG,2021-02-15,0.031
Argentina,ARG,2021-02-16,0.031
Argentina,ARG,2021-02-17,0.024300000000000002
Argentina,ARG,2021-02-18,0.0198
Argentina,ARG,2021-02-19,0.024300000000000002
Argentina,ARG,2021-02-20,0.031900000000000005
Argentina,ARG,2021-02-21,0.035
Argentina,ARG,2021-02-22,0.035500000000000004
Argentina,ARG,2021-02-23,0.042800000000000005
Argentina,ARG,2021-02-24,0.0531
Argentina,ARG,2021-02-25,0.0614
Argentina,ARG,2021-02-26,0.07440000000000001
Argentina,ARG,2021-02-27,0.0878
Argentina,ARG,2021-02-28,0.09630000000000001
Argentina,ARG,2021-03-01,0.1033
Argentina,ARG,2021-03-02,0.12000000000000001
Argentina,ARG,2021-03-03,0.1267
Argentina,ARG,2021-03-04,0.1336
Argentina,ARG,2021-03-05,0.1434
Argentina,ARG,2021-03-06,0.1444
Argentina,ARG,2021-03-07,0.1584
Argentina,ARG,2021-03-08,0.1573
Argentina,ARG,2021-03-09,0.1653
Argentina,ARG,2021-03-10,0.1875
Argentina,ARG,2021-03-11,0.2107
Argentina,ARG,2021-03-12,0.2341
Argentina,ARG,2021-03-13,0.2696
Argentina,ARG,2021-03-14,0.27040000000000003
Argentina,ARG,2021-03-15,0.271
Argentina,ARG,2021-03-16,0.2821
Argentina,ARG,2021-03-17,0.28250000000000003
Argentina,ARG,2021-03-18,0.2801
Argentina,ARG,2021-03-19,0.2659
Argentina,ARG,2021-03-20,0.2431
Argentina,ARG,2021-03-21,0.23340000000000002
Argentina,ARG,2021-03-22,0.2333
Argentina,ARG,2021-03-23,0.22110000000000002
Argentina,ARG,2021-03-24,0.2089
Argentina,ARG,2021-03-25,0.1772
Argentina,ARG,2021-03-26,0.1691
Argentina,ARG,2021-03-27,0.16010000000000002
Argentina,ARG,2021-03-28,0.1598
Argentina,ARG,2021-03-29,0.1592
Argentina,ARG,2021-03-30,0.1593
Argentina,ARG,2021-03-31,0.17800000000000002
Argentina,ARG,2021-04-01,0.20770000000000002
Argentina,ARG,2021-04-02,0.2051
Argentina,ARG,2021-04-03,0.1923
Argentina,ARG,2021-04-04,0.19260000000000002
Argentina,ARG,2021-04-05,0.1943
Asia,,2020-12-16,0
Asia,,2020-12-17,0
Asia,,2020-12-18,0
Asia,,2020-12-19,0
Asia,,2020-12-20,0
Asia,,2020-12-21,0.0001
Asia,,2020-12-22,0.0002
Asia,,2020-12-23,0.0006000000000000001
Asia,,2020-12-24,0.0008
Asia,,2020-12-25,0.0009000000000000001
Asia,,2020-12-26,0.001
Asia,,2020-12-27,0.0013000000000000002
Asia,,2020-12-28,0.0017000000000000001
Asia,,2020-12-29,0.002
Asia,,2020-12-30,0.0022
Asia,,2020-12-31,0.0117
Asia,,2021-01-01,0.0118
Asia,,2021-01-02,0.0119
Asia,,2021-01-03,0.012
Asia,,2021-01-04,0.012100000000000001
Asia,,2021-01-05,0.0145
Asia,,2021-01-06,0.014700000000000001
Asia,,2021-01-07,0.0056
Asia,,2021-01-08,0.0058000000000000005
Asia,,2021-01-09,0.0198
Asia,,2021-01-10,0.019700000000000002
Asia,,2021-01-11,0.0198
Asia,,2021-01-12,0.017400000000000002
Asia,,2021-01-13,0.0205
Asia,,2021-01-14,0.021500000000000002
Asia,,2021-01-15,0.0228
Asia,,2021-01-16,0.0099
Asia,,2021-01-17,0.0108
Asia,,2021-01-18,0.0123
Asia,,2021-01-19,0.0137
Asia,,2021-01-20,0.027
Asia,,2021-01-21,0.0273
Asia,,2021-01-22,0.0281
Asia,,2021-01-23,0.0281
Asia,,2021-01-24,0.0279
Asia,,2021-01-25,0.028300000000000002
Asia,,2021-01-26,0.028
Asia,,2021-01-27,0.0374
Asia,,2021-01-28,0.0391
Asia,,2021-01-29,0.0403
Asia,,2021-01-30,0.0407
Asia,,2021-01-31,0.0449
Asia,,2021-02-01,0.0451
Asia,,2021-02-02,0.0453
Asia,,2021-02-03,0.043300000000000005
Asia,,2021-02-04,0.043000000000000003
Asia,,2021-02-05,0.043000000000000003
Asia,,2021-02-06,0.0436
Asia,,2021-02-07,0.0393
Asia,,2021-02-08,0.0392
Asia,,2021-02-09,0.0688
Asia,,2021-02-10,0.048100000000000004
Asia,,2021-02-11,0.0476
Asia,,2021-02-12,0.0477
Asia,,2021-02-13,0.0487
Asia,,2021-02-14,0.0492
Asia,,2021-02-15,0.051300000000000005
Asia,,2021-02-16,0.0241
Asia,,2021-02-17,0.025
Asia,,2021-02-18,0.0287
Asia,,2021-02-19,0.029
Asia,,2021-02-20,0.030000000000000002
Asia,,2021-02-21,0.029900000000000003
Asia,,2021-02-22,0.0287
Asia,,2021-02-23,0.029
Asia,,2021-02-24,0.028900000000000002
Asia,,2021-02-25,0.0275
Asia,,2021-02-26,0.027700000000000002
Asia,,2021-02-27,0.027
Asia,,2021-02-28,0.06420000000000001
Asia,,2021-03-01,0.0656
Asia,,2021-03-02,0.067
Asia,,2021-03-03,0.069
Asia,,2021-03-04,0.0712
Asia,,2021-03-05,0.0737
Asia,,2021-03-06,0.0767
Asia,,2021-03-07,0.0415
Asia,,2021-03-08,0.045200000000000004
Asia,,2021-03-09,0.0468
Asia,,2021-03-10,0.049
Asia,,2021-03-11,0.046
Asia,,2021-03-12,0.0483
Asia,,2021-03-13,0.0489
Asia,,2021-03-14,0.08700000000000001
Asia,,2021-03-15,0.0921
Asia,,2021-03-16,0.09620000000000001
Asia,,2021-03-17,0.0985
Asia,,2021-03-18,0.10450000000000001
Asia,,2021-03-19,0.11230000000000001
Asia,,2021-03-20,0.14730000000000001
Asia,,2021-03-21,0.10890000000000001
Asia,,2021-03-22,0.1277
Asia,,2021-03-23,0.13670000000000002
Asia,,2021-03-24,0.1463
Asia,,2021-03-25,0.1641
Asia,,2021-03-26,0.1782
Asia,,2021-03-27,0.15990000000000001
Asia,,2021-03-28,0.17270000000000002
Asia,,2021-03-29,0.16010000000000002
Asia,,2021-03-30,0.1608
Asia,,2021-03-31,0.1699
Asia,,2021-04-01,0.1794
Asia,,2021-04-02,0.18630000000000002
Asia,,2021-04-03,0.183
Asia,,2021-04-04,0.1892
Asia,,2021-04-05,0.19360000000000002
Australia,AUS,2021-02-16,0
Australia,AUS,2021-02-17,0
Australia,AUS,2021-02-18,0
Australia,AUS,2021-02-19,0
Australia,AUS,2021-02-20,0
Australia,AUS,2021-02-21,0
Australia,AUS,2021-02-22,0
Australia,AUS,2021-02-23,0.0016
Australia,AUS,2021-02-24,0.0039000000000000003
Australia,AUS,2021-02-25,0.0098
Australia,AUS,2021-02-26,0.014
Australia,AUS,2021-02-27,0.016800000000000002
Australia,AUS,2021-02-28,0.0179
Australia,AUS,2021-03-01,0.0189
Australia,AUS,2021-03-02,0.0219
Australia,AUS,2021-03-03,0.0246
Australia,AUS,2021-03-04,0.0244
Australia,AUS,2021-03-05,0.0263
Australia,AUS,2021-03-06,0.0263
Australia,AUS,2021-03-07,0.027700000000000002
Australia,AUS,2021-03-08,0.029500000000000002
Australia,AUS,2021-03-09,0.0297
Australia,AUS,2021-03-10,0.031
Australia,AUS,2021-03-11,0.0359
Australia,AUS,2021-03-12,0.0354
Australia,AUS,2021-03-13,0.0461
Australia,AUS,2021-03-14,0.0455
Australia,AUS,2021-03-15,0.0439
Australia,AUS,2021-03-16,0.049
Australia,AUS,2021-03-17,0.0545
Australia,AUS,2021-03-18,0.056600000000000004
Australia,AUS,2021-03-19,0.0592
Australia,AUS,2021-03-20,0.053000000000000005
Australia,AUS,2021-03-21,0.0529
Australia,AUS,2021-03-22,0.0658
Australia,AUS,2021-03-23,0.07010000000000001
Australia,AUS,2021-03-24,0.085
Australia,AUS,2021-03-25,0.1022
Australia,AUS,2021-03-26,0.12290000000000001
Australia,AUS,2021-03-27,0.14150000000000001
Australia,AUS,2021-03-28,0.1426
Australia,AUS,2021-03-29,0.1454
Australia,AUS,2021-03-30,0.1625
Australia,AUS,2021-03-31,0.17650000000000002
Australia,AUS,2021-04-01,0.1882
Australia,AUS,2021-04-02,0.2036
Australia,AUS,2021-04-03,0.1804
Australia,AUS,2021-04-04,0.18580000000000002
Australia,AUS,2021-04-05,0.1695
Austria,AUT,2020-12-28,0.014400000000000001
Austria,AUT,2020-12-29,0.0161
Austria,AUT,2020-12-30,0.015700000000000002
Austria,AUT,2020-12-31,0.0118
Austria,AUT,2021-01-01,0.0095
Austria,AUT,2021-01-02,0.0079
Austria,AUT,2021-01-03,0.0068000000000000005
Austria,AUT,2021-01-04,0.0049
Austria,AUT,2021-01-05,0.005200000000000001
Austria,AUT,2021-01-06,0.0043
Austria,AUT,2021-01-07,0.009300000000000001
Austria,AUT,2021-01-08,0.0298
Austria,AUT,2021-01-09,0.0367
Austria,AUT,2021-01-10,0.0402
Austria,AUT,2021-01-11,0.0489
Austria,AUT,2021-01-12,0.0688
Austria,AUT,2021-01-13,0.0913
Austria,AUT,2021-01-14,0.11220000000000001
Austria,AUT,2021-01-15,0.1199
Austria,AUT,2021-01-16,0.1236
